GRB	BAT T90 [sec]	BAT Fluence (15-150 keV) [10^-7 erg/cm^2]	BAT Fluence 90% Error (15-150 keV) [10^-7 erg/cm^2]	BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec]	BAT 1-sec Peak Photon Flux 90% Error (15-150 keV) [ph/cm^2/sec]	BAT Photon Index (15-150 keV) (PL = simple power-law, CPL = cutoff power-law)	BAT Photon Index 90% Error (15-150 keV)	XRT RA (J2000)	XRT Dec (J2000)	Redshift
130612A	4.0	2.3	0.5	1.7	0.3	-0.14, CPL	1.71	17:19:10.63	16:43:11.3	2.006 (VLT: absorption)
130610A	46.4	25	1	1.7	0.2	1.27, PL	0.08	14:57:40.88	28:12:25.6	2.092 (VLT: absorption)
130606A	276.58	29	2	2.6	0.2	1.52, PL	0.12	16:37:35.13	29:47:46.8	5.91 (GTC: absorption)|5.913 (MMT: absorption)|5.913 (VLT: absorption)
130604A	37.7	14	1	0.8	0.2	1.51, PL	0.12	16:40:44.89	68:13:34.9	1.06 (Gemini-North: emission)
130603B	0.18	6.3	0.3	6.4	0.3	0.82, PL	0.07	11:28:48.15	17:04:16.9	0.356 (GTC: absorption & emission)|0.356 (Magellan: emission, host)|0.356 (Gemini-South: emission)|0.3564 (VLT: absorption & emission)
130518A	n/a	n/a	n/a	n/a	n/a	n/a	n/a	23:42:40.23	47:27:53.5	2.49 (GTC: absorption)|2.488 (Gemini-North: absorption)
130514A	204	91	2	2.8	0.3	1.80, PL	0.05	19:45:07.92	-07:58:34.0	3.6 (MPG/ESO: photometric)
130511A	5.43	2.2	0.4	1.3	0.2	1.35, PL	0.31	13:06:34.90	18:42:35.3	1.3033 (Gemini-North: absorption)
130505A	88	210	10	30.0	3.1	1.18, PL	0.07	09:08:14.60	17:29:04.3	2.27 (Gemini-North: absorption)
130427B	27.0	15	1	3.0	0.4	1.64, PL	0.15	20:59:35.63	-22:32:47.9	2.78 (VLT: tentative)
130427A	162.83	3100	30	331.0	4.6	1.21, PL	0.02	11:32:32.63	27:41:51.7	0.34 (Gemini-North: absorption)|0.338 (NOT: absorption)|0.3399 (VLT: absorption)|0.340 (LBT: absorption)| 0.3399 (William Herschel: emission, host)| 0.3393 (BTA)
130420A	123.5	71	3	3.4	0.2	1.52, CPL	0.25	13:04:25.49	59:25:26.3	1.297 (GTC: absorption)
130418A	>300	18	2	0.6	0.2	2.07, PL	0.17	09:56:08.85	13:40:02.0	1.218 (GTC)|1.217 (VLT: absorption)
130408A	28	23	4	4.9	1.0	1.28, PL	0.26	08:57:37.30	-32:21:39.5	3.758 (VLT: absorption)|3.757 (Gemini-South)
130215A	65.7	54	5	2.5	0.7	1.59, PL	0.14	n/a	n/a	0.597 (Lick Shane: absorption)|0.58 (GTC: derived)
130131B	4.30	3.4	0.4	1.0	0.2	1.15, PL	0.20	11:35:49.36	15:02:17.5	2.539 (Keck I: emission, host)
121229A	n/a	4.6	1.3	0.1	0.0	2.43, PL	0.46	12:40:24.31	-50:35:38.6	2.707 (VLT: absorption)
121211A	182	13	2.67	1.0	0.3	2.36, PL	0.26	13:02:07.99	30:08:54.9	1.023 (Keck I)
121201A	85	7.8	1.0	0.8	0.1	1.90, PL	0.21	00:53:52.25	-42:56:34.8	3.385 (VLT: emission  & absorption)
